Field,Що означає,Навіщо алгоритму,Обов'язковість,Чи може бути в MassHunter export,Рекомендований рівень,Критично для artifact detection
SampleName,Назва зразка,Ідентифікація рядка та зв’язок із лабораторним записом,Обов’язково,Так,Minimum,Так
SampleType,Тип зразка: Unknown / Standard / QC / Blank,"Відділяє реальні зразки від blank, QC та калібраторів",Обов’язково,Так / інколи з batch metadata,Minimum,Так
BatchID,Ідентифікатор серії аналізу,"Для batch effect, групування та аналізу стабільності серії",Обов’язково,Часто так,Minimum,Так
InjectionOrder,Порядок інжекції в серії,Потрібно для виявлення drift і carryover,Обов’язково,"Часто так, іноді через batch/report",Minimum,Так
AcqDateTime,Дата і час інжекції,Дає часовий контекст і допомагає бачити дрейф по серії,Бажано,Часто так,Ideal,Ні
VialPosition,Позиція віали,Корисно для трасування помилок і перевірки послідовності інжекцій,Опційно,Часто так,Ideal,Ні
CompoundName,Назва аналіта,Основний ідентифікатор цілі аналізу,Обов’язково,Так,Minimum,Так
PrecursorMz,m/z материнського іона,Визначає MRM transition,Обов’язково,Так,Minimum,Так
ProductMz,m/z дочірнього іона,Визначає MRM transition,Обов’язково,Так,Minimum,Так
TransitionName / IonName,Назва переходу,Зручно для зв’язку з методом і контролю qualifier/quantifier іонів,Бажано,Так,Good,Ні
Polarity,Режим іонізації: positive / negative,Важливо для коректної інтерпретації переходів та зіставлення даних,Бажано,Так,Ideal,Ні
RetentionTime,Фактичний час утримування піка,Один із головних критеріїв підтвердження піка,Обов’язково,Так,Minimum,Так
ExpectedRT,Очікуваний RT із методу,Дає базу для порівняння з фактичним RT,Бажано,Так,Good,Ні
RTDelta,Відхилення фактичного RT від очікуваного,Сильний сигнал для confidence scoring і artifact detection,Бажано,"Іноді прямо, або легко обчислюється",Good,Так
RTWindow,Допустиме вікно RT,"Дозволяє оцінювати, чи пік в межах методу",Опційно,Часто так,Ideal,Ні
Area,Площа піка,Основний кількісний показник,Обов’язково,Так,Minimum,Так
Height,Висота піка,Додатковий показник інтенсивності,Обов’язково,Так,Minimum,Так
PeakStartTime,Початок інтеграції піка,Дає змогу оцінити ширину та якість інтеграції,Бажано,Часто так,Ideal,Ні
PeakEndTime,Кінець інтеграції піка,Дає змогу оцінити ширину та якість інтеграції,Бажано,Часто так,Ideal,Ні
PeakWidth,Ширина піка,"Корисно для виявлення шуму, поганого shape і matrix effects",Бажано,"Іноді так, або обчислюється",Ideal,Ні
SignalToNoise / SNR,Співвідношення сигнал/шум,Один із найкращих індикаторів якості піка,Дуже бажано,Так,Good,Так
BaselineNoise,Рівень шуму базової лінії,Дає кращу інтерпретацію слабких сигналів,Опційно,Іноді так,Ideal,Ні
PeakSymmetry,Симетрія піка,Допомагає виявляти погані або спотворені піки,Опційно,"Частіше ні, але можна обчислювати окремо",Ideal,Ні
TailingFactor,Коефіцієнт tailing,Важливий для оцінки хроматографічної якості,Опційно,"Частіше ні, але можна обчислювати окремо",Ideal,Ні
ISTDName,Назва внутрішнього стандарту,"Дає зрозуміти, з чим нормалізується аналіт",Дуже бажано,Так,Good,Ні
ISTDArea,Площа піка внутрішнього стандарту,Основа для нормалізації сигналу,Дуже бажано,Так,Good,Так
NormalizedArea,Area / ISTDArea,Один із найкорисніших показників для моделі,Дуже бажано,Часто обчислюється окремо,Good,Так
ISTDConcentrationRatio,Відношення концентрації до ISTD,Корисно у quant workflow та калібруванні,Опційно,"Так, у workflow підтримується",Ideal,Ні
Qualifier1Area,Площа 1-го qualifier transition,Дозволяє перевірити ідентичність аналіта,Бажано,Так,Ideal,Ні
Qualifier2Area,Площа 2-го qualifier transition,Додатковий confirmatory канал,Опційно,Так,Ideal,Ні
QualifierRatio,Відношення qualifier до quantifier,Один із ключових критеріїв підтвердження,Дуже бажано,Так,Good,Так
ExpectedQualifierRatio,Очікуване qualifier ratio з методу,База для оцінки відхилення,Бажано,Так,Ideal,Ні
QualifierPassFlag,Чи пройдено критерій qualifier ratio,Готовий індикатор для rule engine / ML,Дуже бажано,Так,Good,Так
ManualIntegrationFlag,Чи пік редагувався вручну,Дуже важливо для довіри до даних,Дуже бажано,Часто так,Good,Так
IntegrationType,Auto / Manual,"Дає контекст, як отриманий результат",Бажано,Часто так,Ideal,Ні
CalibrationLevel,Рівень калібратора,Потрібно для побудови / перевірки калібрування,Бажано,Так,Ideal,Ні
CalculatedConcentration,Розрахована концентрація,Фінальний кількісний результат,Бажано,Так,Ideal,Ні
AccuracyPercent,Відсоток точності,Дозволяє оцінити надійність результату по стандартам/QC,Бажано,Так,Ideal,Ні
ResponseFactor / RelativeResponseFactor,Відгук аналіта відносно концентрації,Корисно для контролю калібрування,Опційно,Так,Ideal,Ні
OutlierFlag,Ознака викиду,Дає готовий прапорець для виключення сумнівних точок,Бажано,Так,Ideal,Ні
BlankType,Solvent / Process / Instrument blank,Дуже корисно для artifact detection,Дуже бажано,"Зазвичай не з коробки, краще додавати окремо",Ideal,Так
QCFlag,Ознака QC-зразка,Потрібно для drift control і оцінки стабільності,Дуже бажано,Часто через sample metadata,Ideal,Ні
CarryoverFlag,Ознака можливого переносу,Корисно для автоматичного зниження confidence,Бажано,Частіше обчислюється окремим правилом,Ideal,Ні
